FID,Id,X,y,longitud,latitud
336,0,621025.0000000,9773770.0000000,-79.9117966,-2.0463500
337,0,621026.0000000,9773770.0000000,-79.9116974,-2.0463500
338,0,621027.0000000,9773770.0000000,-79.9116974,-2.0463500
339,0,621028.0000000,9773770.0000000,-79.9116974,-2.0463500
340,0,621029.0000000,9773770.0000000,-79.9116974,-2.0463500
341,0,621030.0000000,9773770.0000000,-79.9116974,-2.0463500
342,0,621031.0000000,9773770.0000000,-79.9116974,-2.0463500
343,0,621032.0000000,9773770.0000000,-79.9116974,-2.0463500
344,0,621033.0000000,9773770.0000000,-79.9116974,-2.0463500
345,0,621034.0000000,9773770.0000000,-79.9116974,-2.0463500
346,0,621035.0000000,9773770.0000000,-79.9116974,-2.0463500
347,0,621036.0000000,9773770.0000000,-79.9116974,-2.0463500
348,0,621037.0000000,9773770.0000000,-79.9115982,-2.0463500
349,0,621038.0000000,9773770.0000000,-79.9115982,-2.0463500
350,0,621016.0000000,9773780.0000000,-79.9117966,-2.0463500
351,0,621017.0000000,9773780.0000000,-79.9117966,-2.0463500
352,0,621018.0000000,9773780.0000000,-79.9117966,-2.0463500
353,0,621019.0000000,9773780.0000000,-79.9117966,-2.0463500
354,0,621020.0000000,9773780.0000000,-79.9117966,-2.0463500
355,0,621021.0000000,9773780.0000000,-79.9117966,-2.0463500
356,0,621022.0000000,9773780.0000000,-79.9117966,-2.0463500
357,0,621023.0000000,9773780.0000000,-79.9117966,-2.0463500
358,0,621024.0000000,9773780.0000000,-79.9117966,-2.0463500
359,0,621025.0000000,9773780.0000000,-79.9117966,-2.0463500
360,0,621026.0000000,9773780.0000000,-79.9116974,-2.0463500
361,0,621027.0000000,9773780.0000000,-79.9116974,-2.0463500
362,0,621028.0000000,9773780.0000000,-79.9116974,-2.0463500
363,0,621029.0000000,9773780.0000000,-79.9116974,-2.0463500
364,0,621030.0000000,9773780.0000000,-79.9116974,-2.0463500
365,0,621031.0000000,9773780.0000000,-79.9116974,-2.0463500
366,0,621032.0000000,9773780.0000000,-79.9116974,-2.0463500
367,0,621033.0000000,9773780.0000000,-79.9116974,-2.0463500
368,0,621034.0000000,9773780.0000000,-79.9116974,-2.0463500
369,0,621035.0000000,9773780.0000000,-79.9116974,-2.0463500
370,0,621036.0000000,9773780.0000000,-79.9116974,-2.0463500
371,0,621037.0000000,9773780.0000000,-79.9115982,-2.0463500
372,0,621038.0000000,9773780.0000000,-79.9115982,-2.0463500
373,0,621039.0000000,9773780.0000000,-79.9115982,-2.0463500
374,0,621016.0000000,9773780.0000000,-79.9117966,-2.0463400
375,0,621017.0000000,9773780.0000000,-79.9117966,-2.0463400
376,0,621018.0000000,9773780.0000000,-79.9117966,-2.0463400
377,0,621019.0000000,9773780.0000000,-79.9117966,-2.0463400
378,0,621020.0000000,9773780.0000000,-79.9117966,-2.0463400
379,0,621021.0000000,9773780.0000000,-79.9117966,-2.0463400
380,0,621022.0000000,9773780.0000000,-79.9117966,-2.0463400
381,0,621023.0000000,9773780.0000000,-79.9117966,-2.0463400
382,0,621024.0000000,9773780.0000000,-79.9117966,-2.0463400
383,0,621025.0000000,9773780.0000000,-79.9117966,-2.0463400
384,0,621026.0000000,9773780.0000000,-79.9116974,-2.0463400
385,0,621027.0000000,9773780.0000000,-79.9116974,-2.0463400
386,0,621028.0000000,9773780.0000000,-79.9116974,-2.0463400
387,0,621029.0000000,9773780.0000000,-79.9116974,-2.0463400
388,0,621030.0000000,9773780.0000000,-79.9116974,-2.0463400
389,0,621031.0000000,9773780.0000000,-79.9116974,-2.0463400
390,0,621032.0000000,9773780.0000000,-79.9116974,-2.0463400
391,0,621033.0000000,9773780.0000000,-79.9116974,-2.0463400
392,0,621034.0000000,9773780.0000000,-79.9116974,-2.0463400
393,0,621035.0000000,9773780.0000000,-79.9116974,-2.0463400
394,0,621036.0000000,9773780.0000000,-79.9116974,-2.0463400
395,0,621037.0000000,9773780.0000000,-79.9115982,-2.0463400
396,0,621038.0000000,9773780.0000000,-79.9115982,-2.0463400
397,0,621039.0000000,9773780.0000000,-79.9115982,-2.0463400
398,0,621040.0000000,9773780.0000000,-79.9115982,-2.0463400
399,0,621016.0000000,9773780.0000000,-79.9117966,-2.0463300
400,0,621017.0000000,9773780.0000000,-79.9117966,-2.0463300
401,0,621018.0000000,9773780.0000000,-79.9117966,-2.0463300
402,0,621019.0000000,9773780.0000000,-79.9117966,-2.0463300
403,0,621020.0000000,9773780.0000000,-79.9117966,-2.0463300
404,0,621021.0000000,9773780.0000000,-79.9117966,-2.0463300
405,0,621022.0000000,9773780.0000000,-79.9117966,-2.0463300
406,0,621023.0000000,9773780.0000000,-79.9117966,-2.0463300
407,0,621024.0000000,9773780.0000000,-79.9117966,-2.0463300
408,0,621025.0000000,9773780.0000000,-79.9117966,-2.0463300
409,0,621026.0000000,9773780.0000000,-79.9116974,-2.0463300
410,0,621027.0000000,9773780.0000000,-79.9116974,-2.0463300
411,0,621028.0000000,9773780.0000000,-79.9116974,-2.0463300
412,0,621029.0000000,9773780.0000000,-79.9116974,-2.0463300
413,0,621030.0000000,9773780.0000000,-79.9116974,-2.0463300
414,0,621031.0000000,9773780.0000000,-79.9116974,-2.0463300
415,0,621032.0000000,9773780.0000000,-79.9116974,-2.0463300
416,0,621033.0000000,9773780.0000000,-79.9116974,-2.0463300
417,0,621034.0000000,9773780.0000000,-79.9116974,-2.0463300
418,0,621035.0000000,9773780.0000000,-79.9116974,-2.0463300
419,0,621036.0000000,9773780.0000000,-79.9116974,-2.0463300
